unique_id,unique_plot,date,block,plot_id,row,column,x,y,min,q05,q50,q95,max,mean,cv,entropy,volume,coverage,plot_quality,plot_area
2,B01_P0002,2021-05-11,B01,P0002,1,10,755759.844799113,5176793.74332964,0.014892578125,0.0252105712890625,0.0391387939453125,0.059307861328125,0.0660400390625,0.0408242543538411,0.25840447368097,1.49546052133435,0.119815190543175,0,0.0246901113981406,2.51999999955297
6,B01_P0006,2021-05-11,B01,P0006,1,6,755766.326106127,5176793.77762613,0.013153076171875,0.0265121459960938,0.046417236328125,0.0574386596679688,0.0601806640625,0.045236078898112,0.21713513245567,1.3902523797592,0.132763463739624,0,0.0333402340254443,2.51999999943655
59,B01_P0059,2021-05-11,B01,P0059,6,4,755769.592929822,5176813.56876032,0.022369384765625,0.0291519165039062,0.0429229736328125,0.0545455932617187,0.063018798828125,0.0425098765980114,0.185224343869965,1.25970834224867,0.114365466266954,0,0.0430333114665615,2.51999999943655
72,B01_P0072,2021-05-11,B01,P0072,7,6,755766.357509999,5176817.50634251,0.0042724609375,0.010693359375,0.0370025634765625,0.0481918334960938,0.051177978515625,0.0344952901204427,0.327378421650278,1.47208692342037,0.101240300013809,0,0.0254619636419368,2.51999999955297
222,B01_P0002,2021-05-23,B01,P0002,1,10,755759.844799113,5176793.74332964,0.0147705078125,0.0247879028320312,0.0441741943359375,0.0578079223632812,0.061767578125,0.0431028093610491,0.222130905419052,1.39371799669114,0.12430985699233,0,0.0343023770022772,2.51999999955297
226,B01_P0006,2021-05-23,B01,P0006,1,6,755766.326106127,5176793.77762613,0.009368896484375,0.0252914428710938,0.043060302734375,0.0552200317382812,0.0599365234375,0.0418127150762649,0.230448315354553,1.36123718117218,0.120589184525142,0,0.0366055765274826,2.51999999943655
279,B01_P0059,2021-05-23,B01,P0059,6,4,755769.592929822,5176813.56876032,0.02264404296875,0.0311904907226562,0.0452880859375,0.0578140258789063,0.0623779296875,0.0450753106011285,0.17225560929894,1.23123790852295,0.129998612567809,0,0.0463515741805981,2.51999999943655
292,B01_P0072,2021-05-23,B01,P0072,7,6,755766.357509999,5176817.50634251,0.014801025390625,0.0301284790039062,0.04351806640625,0.0572357177734375,0.061004638671875,0.0432692028227306,0.194392819750083,1.32364803278929,0.124789740965851,0,0.039737689698743,2.51999999955297
442,B01_P0002,2021-05-26,B01,P0002,1,10,755759.844799113,5176793.74332964,0.01904296875,0.0289276123046875,0.056793212890625,0.071319580078125,0.07562255859375,0.0546141251273777,0.221785294176195,1.5332755124427,0.142852349196444,0,0.0325062374033271,2.51999999955297
446,B01_P0006,2021-05-26,B01,P0006,1,6,755766.326106127,5176793.77762613,0.011505126953125,0.0226776123046875,0.052490234375,0.0652435302734375,0.070343017578125,0.0495540630414922,0.259067254032322,1.56199556830147,0.128313699699121,0,0.0297018679039699,2.51999999943655
499,B01_P0059,2021-05-26,B01,P0059,6,4,755769.592929822,5176813.56876032,0.01806640625,0.0342086791992188,0.0548095703125,0.0736419677734375,0.08074951171875,0.054487128879713,0.198867828953663,1.52754425621716,0.142520169338655,0,0.0332211446069903,2.51999999943655
512,B01_P0072,2021-05-26,B01,P0072,7,6,755766.357509999,5176817.50634251,0.012542724609375,0.0336288452148438,0.0554962158203125,0.071331787109375,0.07940673828125,0.0546171516918126,0.200381053247395,1.5092708219095,0.141074512359289,0,0.0346663436002245,2.51999999955297
662,B01_P0002,2021-06-01,B01,P0002,1,10,755759.844799113,5176793.74332964,0.019805908203125,0.0288909912109375,0.048614501953125,0.0631195068359375,0.06976318359375,0.0480160536269796,0.202413291918722,1.40588277297765,0.126873750482738,0,0.0249108673587252,2.51999999955297
666,B01_P0006,2021-06-01,B01,P0006,1,6,755766.326106127,5176793.77762613,0.006866455078125,0.016845703125,0.04022216796875,0.047412109375,0.052001953125,0.0376579816951308,0.239300589426239,1.13662198536827,0.0968029386120259,0,0.04316571782802,2.51999999943655
719,B01_P0059,2021-06-01,B01,P0059,6,4,755769.592929822,5176813.56876032,0.020477294921875,0.0320419311523438,0.05316162109375,0.0662841796875,0.071014404296875,0.051611494584517,0.189706991727392,1.42559979217817,0.13575697674477,0,0.0235359676073094,2.51999999943655
732,B01_P0072,2021-06-01,B01,P0072,7,6,755766.357509999,5176817.50634251,0.007781982421875,0.0270828247070313,0.045135498046875,0.054840087890625,0.057464599609375,0.0435074275090144,0.203805275619054,1.26430315461407,0.112706392332846,0,0.0351793263782595,2.51999999955297
882,B01_P0002,2021-06-07,B01,P0002,1,10,755759.844799113,5176793.74332964,0.003509521484375,0.02420654296875,0.050567626953125,0.067291259765625,0.084197998046875,0.049466265445691,0.266181244282768,1.68486340807258,0.129589695898309,0,0.050566039646734,2.51999999955297
886,B01_P0006,2021-06-07,B01,P0006,1,6,755766.326106127,5176793.77762613,0.011199951171875,0.0204513549804687,0.0522613525390625,0.071258544921875,0.074798583984375,0.0491390045750084,0.309589306907555,1.73756416488188,0.128732351275078,0,0.0454245555819435,2.51999999943655
939,B01_P0059,2021-06-07,B01,P0059,6,4,755769.592929822,5176813.56876032,0.006927490234375,0.026641845703125,0.0801849365234375,0.103353881835937,0.1168212890625,0.0729124352122038,0.317742856382511,2.12475537302879,0.191013011013099,0.0753588516746412,0.0661250588609322,2.51999999943655
952,B01_P0072,2021-06-07,B01,P0072,7,6,755766.357509999,5176817.50634251,0.0076904296875,0.022796630859375,0.058380126953125,0.0768081665039062,0.088165283203125,0.0548133941358356,0.297350550560682,1.83122256472631,0.143597884603109,0,0.0372987049212214,2.51999999955297
1102,B01_P0002,2021-06-10,B01,P0002,1,10,755759.844799113,5176793.74332964,0.03619384765625,0.0480911254882812,0.097900390625,0.142184448242188,0.1737060546875,0.095423066110322,0.30408360729452,2.42772170275371,0.252543143819208,0.474242424242424,0.274763047511347,2.51999999955297
1106,B01_P0006,2021-06-10,B01,P0006,1,6,755766.326106127,5176793.77762613,0.0284423828125,0.03692626953125,0.07318115234375,0.115814208984375,0.126708984375,0.074051680131392,0.310087278936341,2.18388738319087,0.19598242718228,0.152727272727273,0.0910230361879296,2.51999999943655
1159,B01_P0059,2021-06-10,B01,P0059,6,4,755769.592929822,5176813.56876032,0.027496337890625,0.0515625,0.148529052734375,0.193820190429688,0.2113037109375,0.133949130838191,0.349353478194075,2.76568911246539,0.346662720502714,0.714595599628138,0.322852892096143,2.51999999943655
1172,B01_P0072,2021-06-10,B01,P0072,7,6,755766.357509999,5176817.50634251,0.006134033203125,0.032073974609375,0.0914459228515625,0.127934265136719,0.143707275390625,0.0852662704930161,0.342490480735425,2.38131701762214,0.225662545648551,0.324242424242424,0.186576844855839,2.51999999955297
1322,B01_P0002,2021-06-17,B01,P0002,1,10,755759.844799113,5176793.74332964,0.007659912109375,0.03275146484375,0.097747802734375,0.200286865234375,0.2412109375,0.106452362297117,0.503997067350083,2.98962856447271,0.27668194979288,0.488682170542636,0.148735976108745,2.51999999955297
1326,B01_P0006,2021-06-17,B01,P0006,1,6,755766.326106127,5176793.77762613,0.02105712890625,0.0435302734375,0.109527587890625,0.193865966796875,0.20550537109375,0.116379148498062,0.398149049290792,2.85019669485008,0.30248281040308,0.595038759689922,0.231311251831331,2.51999999943655
1379,B01_P0059,2021-06-17,B01,P0059,6,4,755769.592929822,5176813.56876032,0.02716064453125,0.051611328125,0.221649169921875,0.33092041015625,0.3555908203125,0.209565098488978,0.439062791903966,3.35965317109639,0.544683826711447,0.79906976744186,0.189457180543686,2.51999999943655
1392,B01_P0072,2021-06-17,B01,P0072,7,6,755766.357509999,5176817.50634251,0.01171875,0.03466796875,0.159637451171875,0.21868896484375,0.242950439453125,0.150094893108043,0.372447526367054,2.94402177722993,0.39011391370703,0.815503875968992,0.288234804852184,2.51999999955297
1542,B01_P0002,2021-06-22,B01,P0002,1,10,755759.844799113,5176793.74332964,0.0107421875,0.0316879272460937,0.123367309570312,0.2254638671875,0.262115478515625,0.120121383666992,0.498396919003479,3.05137603125259,0.353374082116673,0.620833333333333,0.114330097156813,2.51999999955297
1546,B01_P0006,2021-06-22,B01,P0006,1,6,755766.326106127,5176793.77762613,0.014007568359375,0.0455032348632813,0.153060913085938,0.223394775390625,0.242095947265625,0.143533706665039,0.407896635534854,3.00125961510219,0.422248647969076,0.754166666666667,0.181016305163413,2.51999999943655
1599,B01_P0059,2021-06-22,B01,P0059,6,4,755769.592929822,5176813.56876032,0.020843505859375,0.0683624267578125,0.23828125,0.320333862304688,0.339324951171875,0.214964167277018,0.416401359936981,3.25027427970159,0.632383369060083,0.820833333333333,0.137342491852112,2.51999999943655
1612,B01_P0072,2021-06-22,B01,P0072,7,6,755766.357509999,5176817.50634251,0.04608154296875,0.0539093017578125,0.221771240234375,0.301498413085938,0.317535400390625,0.205492952685335,0.361434037499878,2.96598590644397,0.581851338790461,0.857142857142857,0.217638116881694,2.51999999955297
1762,B01_P0002,2021-06-25,B01,P0002,1,10,755759.844799113,5176793.74332964,0.09869384765625,0.16270751953125,0.342666625976562,0.39029541015625,0.3988037109375,0.320099293101918,0.21209870373546,3.0058885053798,0.872393067122795,0.995454545454545,0.203361032113233,2.51999999955297
1766,B01_P0006,2021-06-25,B01,P0006,1,6,755766.326106127,5176793.77762613,0.0987548828125,0.169155883789062,0.362060546875,0.415809631347656,0.42694091796875,0.339033635457357,0.205173683063789,3.02015321769532,1.00799606804368,0.995833333333333,0.19972780431919,2.51999999943655
1819,B01_P0059,2021-06-25,B01,P0059,6,4,755769.592929822,5176813.56876032,0.17584228515625,0.306704711914063,0.489456176757812,0.550717163085938,0.561767578125,0.466859563191732,0.165736872454191,3.07762586957154,1.3880410520066,1,0.185207615520224,2.51999999943655
1832,B01_P0072,2021-06-25,B01,P0072,7,6,755766.357509999,5176817.50634251,0.12579345703125,0.242507934570312,0.445693969726562,0.479730224609375,0.49072265625,0.415480931599935,0.172213210302743,2.84280488750403,1.23528494402891,1,0.24708701988715,2.51999999955297
1982,B01_P0002,2021-06-28,B01,P0002,1,10,755759.844799113,5176793.74332964,0.07513427734375,0.147512817382812,0.322952270507812,0.412002563476562,0.42266845703125,0.302089818318685,0.289734072499903,3.34197946172244,0.882829821028111,0.9875,0.106550355524371,2.51999999955297
1986,B01_P0006,2021-06-28,B01,P0006,1,6,755766.326106127,5176793.77762613,0.02301025390625,0.131488037109375,0.372543334960938,0.4297119140625,0.443084716796875,0.338372929890951,0.273989387030432,3.19991264711657,0.988863890875162,0.970833333333333,0.144139945513108,2.51999999943655
2039,B01_P0059,2021-06-28,B01,P0059,6,4,755769.592929822,5176813.56876032,0.196258544921875,0.291912841796875,0.50628662109375,0.575096130371094,0.57855224609375,0.479759470621745,0.203473941462443,3.19421705670181,1.40205310441388,1,0.147614899014705,2.51999999943655
2052,B01_P0072,2021-06-28,B01,P0072,7,6,755766.357509999,5176817.50634251,0.106536865234375,0.224015808105469,0.45245361328125,0.495864868164062,0.504425048828125,0.414883804321289,0.216850399182067,3.02016316432855,1.21245991260133,1,0.193621246089393,2.51999999955297
2202,B01_P0002,2021-07-01,B01,P0002,1,10,755759.844799113,5176793.74332964,0.065338134765625,0.220230102539062,0.384994506835938,0.452452087402344,0.471923828125,0.372395054575359,0.183538687034718,3.12750023228213,0.971914083959355,0.998205741626794,0.202403637916867,2.51999999955297
2206,B01_P0006,2021-07-01,B01,P0006,1,6,755766.326106127,5176793.77762613,0.053802490234375,0.294013977050781,0.4525146484375,0.510162353515625,0.53192138671875,0.436688911401484,0.1519757144904,3.06048408487723,1.13971466077591,0.998504784688995,0.219875609347522,2.51999999943655
2259,B01_P0059,2021-07-01,B01,P0059,6,4,755769.592929822,5176813.56876032,0.1292724609375,0.445500183105469,0.59967041015625,0.650442504882813,0.67041015625,0.580080205743963,0.114272758527008,3.05275688179608,1.51395168883616,1,0.222260096759209,2.51999999943655
