name_muni,abbrev_state,lon,lat
Manacapuru,AM,-60.9583866546099,-3.2913945498916
Manaquiri,AM,-60.6971147816628,-3.77894322778353
Manaus,AM,-60.2595669826414,-2.62600121089296
Manicoré,AM,-61.44652175591,-6.45981551361822
Maraã,AM,-65.0381606591189,-2.42848749858861
Maués,AM,-58.0611213904923,-4.9852354399017
Nhamundá,AM,-57.6561922500507,-1.6805269142744
Nova Olinda Do Norte,AM,-58.6019465857214,-3.98824779359945
Novo Airão,AM,-61.7019582773551,-2.04704243501896
Novo Aripuanã,AM,-60.4771746968046,-6.82473744038171
Parintins,AM,-56.8540937714134,-2.68826725711524
Pauini,AM,-68.197352911283,-7.7577403287822
Presidente Figueiredo,AM,-59.9889394493193,-1.37244101296078
Rio Preto Da Eva,AM,-59.6383566783177,-2.52985783278235
Santa Isabel Do Rio Negro,AM,-65.5221589411273,-0.318556665903607
Santo Antônio Do Içá,AM,-69.0883458985194,-3.05107411289869
São Gabriel Da Cachoeira,AM,-67.9978605880534,0.374396399126812
São Paulo De Olivença,AM,-69.4507096926401,-4.49783539926177
São Sebastião Do Uatumã,AM,-58.702607766617,-1.94603448275794
Silves,AM,-58.536208418828,-2.82213398158924
Tabatinga,AM,-69.6814592858663,-4.02772343452222
Tapauá,AM,-64.8939363341934,-6.10455315432291
Tefé,AM,-65.5293582359996,-4.46838346952827
Tonantins,AM,-67.8278642540879,-2.69154990094008
Uarini,AM,-65.4121223256992,-3.16712403252304
Urucará,AM,-59.0297647934242,-0.89417783463732
Urucurituba,AM,-57.7703326761751,-2.8123981622551
Amajari,RR,-62.4369662678447,3.73292135447155
Alto Alegre,RR,-62.7555271614855,3.07828537460201
Boa Vista,RR,-60.7179516270499,3.11789249186903
Bonfim,RR,-60.1002093290261,2.78707215031039
Cantá,RR,-60.542224902956,2.27282091219635
Caracaraí,RR,-61.4721094406928,0.990875437982895
Caroebe,RR,-59.3381260440075,0.914695832235322
Iracema,RR,-62.4488531691274,2.19045685190997
Mucajaí,RR,-61.9956743356697,2.51332201157027
Normandia,RR,-60.0650276261292,3.8790749326427
Pacaraima,RR,-60.8394556073192,4.16870877536338
Rorainópolis,RR,-61.0104371212321,0.0378402604461197
São João Da Baliza,RR,-59.8449893881877,0.635799437113068
São Luiz,RR,-60.1518455983058,0.884508075824309
Uiramutã,RR,-60.2808249502712,4.68404971911843
Abaetetuba,PA,-48.882992096263,-1.73024827732481
Abel Figueiredo,PA,-48.4246234744791,-4.95728576493588
Acará,PA,-48.4115269147507,-2.03542780244363
Afuá,PA,-50.7276152063817,-0.263864004063551
Água Azul Do Norte,PA,-50.4302307454242,-6.77297404812501
Alenquer,PA,-55.0392171894822,-0.604395799955825
Almeirim,PA,-53.8935777601123,0.284460649757059
Altamira,PA,-53.8867051639139,-6.48614065925329
Anajás,PA,-49.9620671749606,-0.827205576981349
Ananindeua,PA,-48.3835385313968,-1.33408306019627
Anapu,PA,-51.3012581542746,-3.99720256979067
Augusto Corrêa,PA,-46.5072742899359,-1.10531959697528
Aurora Do Pará,PA,-47.726332615829,-2.23113499640649
Aveiro,PA,-56.01636782083,-3.66720024378068
Bagre,PA,-50.1817708895598,-2.3731534890594
Baião,PA,-49.699005505318,-3.12957909603253
Bannach,PA,-50.6344264023779,-7.48635620090475
Barcarena,PA,-48.6342685967856,-1.49843266168964
Belém,PA,-48.4598790255796,-1.2407087743395
Belterra,PA,-54.9928994531367,-3.1912415301972
Benevides,PA,-48.2756401312131,-1.33959204931519
Bom Jesus Do Tocantins,PA,-48.7635632771896,-5.05433879776489
Bonito,PA,-47.3023188592893,-1.38737582540974
Bragança,PA,-46.7652072556826,-1.19751955581945
Brasil Novo,PA,-52.6854023842775,-3.29217730517513
Brejo Grande Do Araguaia,PA,-48.4319072492528,-5.73562189656563
Breu Branco,PA,-49.3712041265942,-3.73343175245157
Breves,PA,-50.6285023660514,-1.12131955608902
Bujaru,PA,-48.0886255337356,-1.63392276561176
Cachoeira Do Piriá,PA,-46.4407950140387,-1.99082540921348
Cachoeira Do Arari,PA,-48.8773050176175,-0.869325234294185
Cametá,PA,-49.5135710659244,-2.25300100004728
Canaã Dos Carajás,PA,-50.0859142341571,-6.42409837569183
Capanema,PA,-47.1194882280436,-1.14323071201638
Capitão Poço,PA,-47.2341898341456,-2.04378550748944
Castanhal,PA,-47.8770699351103,-1.26895976913825
Chaves,PA,-49.8293166500513,-0.0295118021313823
Colares,PA,-48.2845924821805,-0.903854307538901
Conceição Do Araguaia,PA,-49.5127262786699,-8.18249374326132
Concórdia Do Pará,PA,-47.9748181152327,-1.88390252426109
Cumaru Do Norte,PA,-51.2210425894259,-8.45817059453013
Curionópolis,PA,-49.6246230915899,-6.22899739835653
Curralinho,PA,-49.9881294249633,-1.58350980649432
Curuá,PA,-55.1132422205628,-1.84604085067529
Curuçá,PA,-47.8631887350191,-0.743012728645391
Dom Eliseu,PA,-47.8980903066904,-4.18656569623123
Eldorado Dos Carajás,PA,-49.2454318034045,-6.06957226808194
Faro,PA,-57.8060711322178,-1.15905483000095
